tournament_id,match_id,game_id
2379,458810,206167
2379,458811,206168
2379,458812,206172
2379,458811,206169
2379,458812,206171
2379,458814,206178
2379,458814,206177
2379,458813,206174
2379,458813,206176
2379,458815,206180
2379,458815,206181
2379,458816,206183
2379,458817,206186
2379,458813,206175
2379,458818,206189
2379,458817,206187
2379,458818,210878
2379,458820,206195
2379,458816,206184
2379,458820,206197
2379,458819,211027
2379,458820,206196
2379,458821,211440
2379,458822,206201
2379,458821,211411
2379,458819,206194
2379,458819,206193
2379,458823,206205
2379,458823,206204
2379,458822,206202
2379,458822,206203
2379,458824,206209
2379,458827,206217
2379,458826,206213
2379,458824,206207
2379,458827,206216
2379,458824,206208
2379,458826,206214
2379,458825,206210
2379,458825,206211
2379,458825,206212
2379,458828,206219
2379,458828,206220
2379,458828,206221
2379,458831,206226
2379,458830,206223
2379,458831,206225
2379,458832,206229
2379,458830,206222
2379,458832,206228
2379,458832,206230
2379,458833,206232
2379,458833,206231
2379,458833,206233
2379,458834,206235
2379,458834,206234
2379,458835,206239
2379,458835,206238
2379,458835,206237
2379,473833,212502
2379,473833,212503
2379,473834,212505
2379,473833,212504
2379,473834,212506
2379,473837,212514
2379,473837,212515
2379,473838,212517
2379,473838,212518
2379,473838,212519
2379,473835,212508
2379,473835,212509
2379,473835,212510
2379,473839,212521
2379,473839,212520
2379,473836,212512
2379,473836,212513
2379,473836,212511
2379,473840,212523
2379,473841,212526
2379,473840,212524
2379,473841,212527
2379,473842,212529
2379,473843,212533
2379,473843,212532
2379,473843,212536
2379,473843,212535
2379,473842,212530
2450,485370,216246
2379,473843,212534
2450,485370,216245
2450,485370,216244
2450,485371,216247
2379,473844,212537
2450,485371,216249
2379,473844,212539
2379,473844,212538
2379,473844,212540
2450,485372,216250
2450,485372,216251
2450,485371,216248
2450,485373,216253
2450,485374,216256
2450,485373,216254
2450,485375,216259
2450,485375,216261
2450,485374,216257
2450,485375,216260
2450,485376,216262
2450,485376,216263
2450,485377,216265
2450,485377,216266
2450,485378,216268
2450,485379,216271
2450,485378,216269
2450,485377,216267
2450,485379,216272
2450,485379,216273
2450,485381,216279
2450,485381,216280
2450,485381,216281
2359,450047,203454
2450,485380,216276
2359,473244,212258
2359,473244,212259
2359,473244,212257
2359,473242,212249
2359,473242,212251
2359,473244,212260
2347,459517,206933
2347,459517,206934
2347,459518,206936
2347,459519,206939
2347,459518,206937
2347,459518,206938
2347,459519,206940
2347,459521,206946
2347,459520,206943
2347,459520,206942
2347,459521,206945
2347,459517,206935
2347,459522,206948
2347,459525,206957
2347,459522,206950
2347,459522,206949
2347,459524,206954
2347,459523,206953
2347,459523,206951
2347,459525,206958
2347,459523,206952
2347,459526,206960
2347,459524,206955
2347,459526,206961
2347,459529,206969
2347,459526,206962
2347,459529,206970
2347,459527,206963
2347,459528,206967
2347,459528,206966
2347,459527,206964
2347,459530,206972
2347,459531,206976
2347,459531,206977
2347,459530,206973
2347,459531,206975
2347,459532,206978
2347,459530,206974
2347,459532,206979
2347,459533,206981
2347,459534,206984
2347,459533,206982
2347,459535,206987
2347,459534,206985
2347,459535,206988
2347,459536,206990
2347,459536,206992
2347,459536,206991
2347,459534,206986
2347,459537,206993
2347,459537,206994
2347,459539,206999
2347,459539,207000
2347,459538,206997
2347,459538,211889
2347,459538,206996
2347,459541,207005
2347,459541,207006
2347,459540,207003
2347,459540,207002
2347,459541,207007
2347,459542,207009
2347,459543,207011
2347,459542,207008
2347,459542,207010
2347,459543,207012
2347,459544,207015
2347,459544,207014
2347,475897,213487
2347,459546,207021
2347,459545,207017
2347,459546,207020
2347,459545,207018
2347,459545,207019
2347,475898,213490
2347,475898,213491
2347,475897,213488
2347,475903,213507
2347,475904,213511
2347,475903,213508
2347,475904,213510
2347,475899,213493
2347,475899,213494
2347,475906,213516
2347,475906,213517
2347,475900,213496
2347,475905,213513
2347,475905,213515
2347,475900,213498
2347,475900,213497
2347,475905,213514
2347,475901,213499
2347,475901,213500
2347,475907,213519
2347,475908,213522
2347,475908,213524
2347,475908,213523
2347,475907,213521
2347,475907,213520
2347,475908,215607
2347,475902,213502
2347,475902,213503
2281,448598,202496
2281,448598,202495
2281,448599,202499
2347,475902,213504
2281,448599,202498
2347,475902,213505
2281,448600,202502
2281,448600,202501
2281,448597,202492
2281,448597,202493
2281,449000,202765
2281,449000,202766
2281,449001,202770
2281,449000,202767
2281,449001,202768
2281,449001,202769
2281,449002,202772
2281,449002,202771
2281,449005,202780
2281,449004,202778
2281,449004,202777
2281,449003,202776
2281,449003,202774
2281,449005,202781
2281,449003,202775
2281,449008,202783
2281,449008,202784
2281,449009,202786
2281,449010,202789
2281,449008,202785
2281,449010,202790
2281,449009,202787
2281,449012,202797
2281,449012,202798
2281,449012,202799
2281,449013,202800
2339,440530,200451
2281,449013,202801
2281,449013,202802
2281,449013,202803
2339,440530,200452
2339,440531,200454
2339,440531,200455
2281,449011,202796
2281,449011,202793
2281,449011,202794
2281,449011,202792
2281,449011,202795
2339,440532,200457
2339,440531,200456
2339,440532,200458
2339,440533,200460
2339,440533,200461
2339,440534,200463
2339,440534,200464
2339,440535,200467
2339,440535,200466
2339,440536,200469
2339,440536,200471
2339,440536,200470
2339,440537,200472
2339,440537,200473
2339,440538,200476
2339,440539,200478
2339,440539,200479
2339,440538,200475
2339,440541,200487
2339,440541,200486
2339,440540,200483
2339,440541,200488
2339,440540,200482
2339,440540,200481
2276,429381,196073
2276,429381,196074
2276,429381,196075
2276,429380,196070
2276,429380,196071
2276,429379,196067
2276,429379,196068
2276,429380,196072
2276,429379,196069
2276,429382,196076
2276,429382,196077
2276,429385,196085
2276,429383,196079
2276,429385,196086
2276,429385,196087
2276,429384,196084
2276,429384,196082
2276,429383,196080
2276,429384,196083
2276,429386,196088
2276,429393,196111
2276,429393,196112
2276,429393,196113
2276,429386,196089
2276,429386,196090
2276,429392,196109
2276,429392,196110
2276,429392,196108
2276,429394,196114
2276,429394,196115
2276,429391,196105
2276,429391,196106
2276,429394,196116
2276,429391,196107
2276,429388,196094
2276,429388,196095
2276,429387,196091
2276,429387,196092
2276,429395,196118
2276,429396,196120
2276,429395,196117
2276,429396,196121
2276,429397,196124
2276,429397,196123
2276,429398,196127
2276,429398,196126
2276,429389,196097
2276,429400,196129
2276,429400,196130
2276,429389,196098
2276,429400,196131
2276,429398,196128
2276,429401,196132
2276,429401,196133
2276,429401,196134
2276,429390,196102
2276,429390,196101
2276,429390,196100
2276,429390,196104
2276,429390,196103
2277,430514,196410
