tournament_id,team_id
1657,2304
1657,14
1657,4915
1657,2355
1657,11328
1657,5448
1657,474
1658,2355
1658,2359
1658,188
1658,2
1658,120
1658,2406
1658,7386
1659,2304
1659,4915
1659,7035
1659,8877
1659,1001
1659,397
1660,5448
1660,6199
1660,17
1660,878
1660,918
1660,8304
1660,278
1664,1120
1664,12010
1664,11328
1664,731
1664,1837
1664,12685
1664,9052
1664,1224
1664,11980
1664,804
1664,4462
1664,11981
1664,1211
1664,12202
1664,5944
1664,12011
1664,12064
1664,4460
1664,4683
1664,11985
1664,11983
1494,2593
1494,5248
1494,624
1494,1034
1494,474
1494,1120
1494,8185
1494,6961
1494,14
1494,1184
1494,1837
1494,4915
1189,6961
1189,1034
1189,5248
1189,188
1189,2359
1189,2406
1189,2
1189,120
1189,7386
1189,2355
1190,474
1190,2593
1190,1184
1190,4915
1190,2304
1190,2059
1190,397
1190,1001
1190,7035
1190,8877
1191,624
1191,8185
1191,14
1191,17
1191,6199
1191,5448
1191,878
1191,918
1191,8304
1191,278
1188,2593
1188,6961
1188,8185
1188,4915
1188,1034
1188,8304
1188,2359
1188,120
1188,2304
1188,8877
1188,188
1188,5248
1188,6199
1188,2059
1188,1184
1188,2406
1188,7035
1188,278
1188,17
1188,11328
1188,397
1188,624
1188,1001
1188,7386
1188,474
1188,2355
1188,5448
1188,918
1188,878
1188,1120
1188,2
1188,14
1188,12066
1188,12065
1015,6961
1015,8127
1015,8185
1015,628
1015,533
1015,2593
1015,2359
1015,474
1015,624
1015,5448
1015,2355
1015,120
1015,1120
1015,466
1015,7397
1015,2406
1111,2355
1111,2406
1111,6946
1111,4894
1111,7391
1111,367
1111,7269
1111,724
1130,120
1130,6675
1130,337
1130,188
1130,2
1130,1034
1130,9353
1130,5248
1117,474
1117,8326
1117,257
1117,8903
1117,4915
1117,1209
1117,3531
1117,397
1083,1120
1083,8182
1083,2988
1083,5443
1083,277
1083,104
1083,8086
1083,2542
1084,466
1084,2032
1084,6387
1084,6199
1084,1208
1084,4210
1084,4325
1084,1110
1084,3107
1084,4330
1014,628
1014,624
1014,8127
1014,2593
1014,8185
1014,2359
1014,1209
1014,533
1014,2355
1014,2988
1014,6961
1014,7397
1113,1208
1113,8448
1113,1319
1113,8591
1113,7313
1113,7312
1085,2355
1085,7391
1086,2359
1086,2355
1086,7269
1086,724
800,533
800,8127
800,337
800,1034
800,5248
800,120
800,2291
800,642
800,6675
800,188
800,106
800,2
800,1615
800,6461
800,6451
800,4345
800,17
800,8370
800,4346
800,7854
800,2348
800,470
800,4388
800,2350
800,14
800,793
800,3337
800,2815
800,8569
800,2938
800,5038
800,5829
800,3748
800,6045
800,8568
800,8460
800,7049
800,5832
800,12836
800,1267
800,8357
800,8264
800,7853
911,6961
911,7391
911,4894
911,7332
911,7386
911,2406
911,7013
911,6946
911,243
911,581
911,1311
911,8266
911,5322
911,7337
911,7349
911,6406
911,8267
911,8269
911,8335
911,8330
911,8298
911,7355
911,7640
911,4958
911,7374
911,6220
911,7383
911,7055
911,2343
984,2593
984,628
984,1209
984,8326
984,3531
984,474
984,8903
984,397
984,257
984,4915
984,6882
984,472
1063,624
1063,7397
1063,6199
1063,2032
1063,1110
1063,6387
1063,3107
1063,466
1063,9161
1063,878
1063,1208
1063,4330
1063,4210
1063,918
1063,3136
1063,4993
1063,4325
1063,8928
1063,2917
1063,5931
1013,2988
1013,5448
1013,277
1013,104
1013,516
1013,2108
1013,6793
1013,283
998,8185
998,8086
998,2542
998,2554
998,8182
998,2559
998,8099
998,8897
988,2355
988,2359
988,367
988,2354
988,5562
988,8734
988,8735
988,4989
983,7269
983,724
983,8691
983,4094
983,363
983,3322
983,8690
983,1991
996,918
996,2917
996,8904
996,799
996,8369
996,8936
996,4829
996,1033
996,8485
996,795
996,8108
996,910
996,8963
996,8966
996,8961
996,8970
996,8023
996,8483
996,5905
996,8962
996,8964
996,8965
996,8967
996,5895
996,6300
996,8969
996,4733
996,5455
996,8991
996,8484
996,8993
996,7900
996,8990
996,2919
996,8992
996,5998
996,4832
996,4680
996,7898
996,6001
1012,283
1012,277
1012,6793
1012,2108
1012,6798
1012,278
1012,6869
1012,294
991,4330
991,4325
991,5931
991,8796
991,7057
991,7063
991,7060
991,8470
991,6776
991,8586
991,8545
991,6969
991,8795
991,7061
991,7065
991,8467
991,8587
991,7961
991,7912
991,5953
882,6199
882,3136
882,878
882,4150
882,6389
882,4251
882,5366
882,7031
882,7037
882,3718
882,6262
882,8381
882,7039
882,8304
882,8007
882,8802
882,8799
882,8375
882,1929
882,8798
882,8797
882,7603
972,7397
972,4993
972,4210
972,4050
972,2112
972,623
972,8572
972,6665
972,8813
972,8815
972,5428
972,6595
972,8823
972,8824
972,7685
972,8107
965,2032
965,1110
965,466
965,2814
965,8422
965,8309
965,3437
965,8925
965,8701
965,8383
965,8704
965,2568
965,8698
965,8699
965,7591
965,5254
965,8703
965,8697
965,8700
965,8702
965,5958
977,3107
977,8928
977,8931
977,619
977,8932
977,3108
977,3112
977,7915
977,8927
977,8382
977,8929
977,5333
963,624
963,3351
963,6387
963,7987
963,1331
963,879
963,8124
963,7040
963,8971
963,8741
963,7973
960,1208
960,8448
960,8591
960,7313
960,8538
960,1319
960,591
960,7312
960,7318
960,8536
960,8535
960,7320
960,8537
960,6487
960,6192
960,7314
960,8539
960,8540
997,2988
997,5448
997,516
997,104
997,277
997,6793
997,6798
997,294
926,8127
926,6961
926,5448
926,624
926,257
926,8185
926,6675
