tournament_id,match_id,game_id,team1_id,team2_id,pistol1,pistol2,eco1_win,eco1_lose,eco2_win,eco2_lose,semi_eco1_win,semi_eco1_lose,semi_eco2_win,semi_eco2_lose,semi_buy1_win,semi_buy1_lose,semi_buy2_win,semi_buy2_lose,full_buy1_win,full_buy1_lose,full_buy2_win,full_buy2_lose
2004,314632,163379,188,5248,1,1,1,1,1,3,1,0,0,1,4,0,3,3,7,7,4,6
2004,314634,163382,2,7386,0,2,1,3,2,1,0,0,0,1,1,0,3,4,11,4,2,7
2004,314636,163387,2355,5248,1,1,1,2,1,3,0,0,0,2,2,0,3,4,10,3,1,4
2004,314635,163385,188,6961,2,0,2,0,0,4,0,0,0,2,4,1,1,1,7,3,3,6
2004,314636,163388,2355,5248,2,0,2,0,0,4,0,3,0,0,2,1,3,2,9,5,6,7
2004,314635,163384,188,6961,1,1,1,1,1,2,0,1,0,0,3,4,4,4,7,7,8,5
2004,314635,163386,188,6961,0,2,0,3,2,0,1,0,0,2,3,0,5,7,9,6,2,4
2004,314638,163393,11058,2406,1,1,1,2,1,2,0,0,0,1,3,0,2,8,9,1,0,2
2004,314637,163390,1034,2359,0,2,0,3,2,0,1,1,0,1,3,3,2,1,0,6,9,2
2004,314639,163397,188,120,1,1,1,2,1,1,0,0,0,1,2,5,2,1,3,6,10,3
2004,314638,163394,11058,2406,2,0,2,0,0,3,0,0,0,2,4,2,2,5,7,1,1,3
2004,314637,163391,1034,2359,1,1,1,2,1,2,0,1,0,0,2,5,3,0,1,5,9,2
2004,314639,163396,188,120,1,1,1,2,1,2,0,2,1,0,3,3,3,0,3,6,8,5
2004,314641,163403,1034,7386,2,0,2,0,0,4,0,0,0,1,3,1,1,4,8,2,2,4
2004,314641,163402,1034,7386,1,1,2,2,1,2,0,1,0,2,1,2,5,2,10,4,3,7
2004,314640,163400,2,5248,1,1,1,2,1,2,0,2,0,0,1,4,3,4,9,5,9,5
2004,314640,163401,2,5248,0,2,1,4,2,0,0,1,0,2,4,4,5,4,5,4,6,4
2004,314644,163411,11058,7386,1,1,1,2,1,2,2,1,2,1,2,3,1,4,8,3,5,6
2004,314640,163399,2,5248,1,1,1,2,1,2,1,1,0,1,3,4,4,4,8,3,5,6
2004,314642,163407,11058,2359,1,1,1,2,1,2,1,0,0,0,2,3,4,1,5,8,8,6
2004,314642,163405,11058,2359,1,1,1,1,1,2,0,4,1,0,2,3,2,1,3,5,9,3
