tournament_id,match_id,game_id,map,pick,team1_id,team2_id,score1_ct,score1_t,score2_ct,score2_t,score1,score2,winner_id,loser_id,duration,game_url
2590,538567,232751,Ascent,13581,13576,13581,8.0,5.0,2.0,4.0,13,6,13576,13581,-,https://www.vlr.gg/538567/jdg-esports-vs-xi-lai-gaming-china-evolution-series-act-3-ro12/?game=232751
2283,542272,233478,Corrode,1034,1034,2593,9.0,4.0,0.0,3.0,13,3,1034,2593,40:34,https://www.vlr.gg/542272/nrg-vs-fnatic-valorant-champions-2025-gf/?game=233478
2590,538567,232752,Lotus,13576,13576,13581,9.0,4.0,0.0,3.0,13,3,13576,13581,-,https://www.vlr.gg/538567/jdg-esports-vs-xi-lai-gaming-china-evolution-series-act-3-ro12/?game=232752
2590,538568,232754,Abyss,13790,13790,12010,4.0,7.0,5.0,8.0,11,13,12010,13790,-,https://www.vlr.gg/538568/wolves-esports-vs-bilibili-gaming-china-evolution-series-act-3-ro12/?game=232754
2283,542272,233479,Lotus,2593,1034,2593,4.0,9.0,3.0,3.0,13,6,1034,2593,44:48,https://www.vlr.gg/542272/nrg-vs-fnatic-valorant-champions-2025-gf/?game=233479
2590,538568,232755,Corrode,12010,13790,12010,7.0,6.0,4.0,5.0,13,9,13790,12010,-,https://www.vlr.gg/538568/wolves-esports-vs-bilibili-gaming-china-evolution-series-act-3-ro12/?game=232755
2283,542272,233480,Abyss,1034,1034,2593,11.0,1.0,11.0,1.0,13,15,2593,1034,1:03:33,https://www.vlr.gg/542272/nrg-vs-fnatic-valorant-champions-2025-gf/?game=233480
2283,542272,233481,Ascent,2593,1034,2593,4.0,4.0,5.0,8.0,8,13,2593,1034,52:47,https://www.vlr.gg/542272/nrg-vs-fnatic-valorant-champions-2025-gf/?game=233481
2590,538568,232756,Ascent,,13790,12010,8.0,5.0,3.0,4.0,13,7,13790,12010,-,https://www.vlr.gg/538568/wolves-esports-vs-bilibili-gaming-china-evolution-series-act-3-ro12/?game=232756
2590,538569,232757,Corrode,731,731,14137,3.0,10.0,2.0,1.0,13,3,731,14137,-,https://www.vlr.gg/538569/tyloo-vs-titan-esports-club-china-evolution-series-act-3-qf/?game=232757
2283,542272,233482,Sunset,,1034,2593,4.0,9.0,3.0,2.0,13,5,1034,2593,42:18,https://www.vlr.gg/542272/nrg-vs-fnatic-valorant-champions-2025-gf/?game=233482
2590,538569,232758,Haven,14137,731,14137,7.0,5.0,7.0,5.0,12,14,14137,731,-,https://www.vlr.gg/538569/tyloo-vs-titan-esports-club-china-evolution-series-act-3-qf/?game=232758
2590,538569,232759,Lotus,,731,14137,4.0,2.0,5.0,8.0,6,13,14137,731,-,https://www.vlr.gg/538569/tyloo-vs-titan-esports-club-china-evolution-series-act-3-qf/?game=232759
2590,538572,232767,Sunset,13790,1119,13790,9,4,3,3,13,6,1119,13790,-,https://www.vlr.gg/538572/all-gamers-vs-wolves-esports-china-evolution-series-act-3-qf/?game=232767
2590,538570,232761,Corrode,11328,11328,12064,0,4,8,5,4,13,12064,11328,-,https://www.vlr.gg/538570/funplus-phoenix-vs-nova-esports-china-evolution-series-act-3-qf/?game=232761
2590,538571,232765,Haven,,12685,13576,6,6,6,6,13,15,13576,12685,-,https://www.vlr.gg/538571/trace-esports-vs-jdg-esports-china-evolution-series-act-3-qf/?game=232765
2590,538570,232760,Lotus,12064,11328,12064,3,10,2,2,13,4,11328,12064,-,https://www.vlr.gg/538570/funplus-phoenix-vs-nova-esports-china-evolution-series-act-3-qf/?game=232760
2590,538570,232762,Haven,,11328,12064,9,4,1,3,13,4,11328,12064,-,https://www.vlr.gg/538570/funplus-phoenix-vs-nova-esports-china-evolution-series-act-3-qf/?game=232762
2590,538572,232766,Lotus,1119,1119,13790,4,7,5,8,11,13,13790,1119,-,https://www.vlr.gg/538572/all-gamers-vs-wolves-esports-china-evolution-series-act-3-qf/?game=232766
2590,538571,232764,Sunset,12685,12685,13576,4,9,3,0,13,3,12685,13576,-,https://www.vlr.gg/538571/trace-esports-vs-jdg-esports-china-evolution-series-act-3-qf/?game=232764
2590,538571,232763,Lotus,13576,12685,13576,3,3,9,4,6,13,13576,12685,-,https://www.vlr.gg/538571/trace-esports-vs-jdg-esports-china-evolution-series-act-3-qf/?game=232763
2590,538573,232769,Sunset,11328,14137,11328,7,5,7,5,13,15,11328,14137,-,https://www.vlr.gg/538573/titan-esports-club-vs-funplus-phoenix-china-evolution-series-act-3-sf/?game=232769
2590,538573,232771,Haven,,14137,11328,10,3,4,2,13,6,14137,11328,-,https://www.vlr.gg/538573/titan-esports-club-vs-funplus-phoenix-china-evolution-series-act-3-sf/?game=232771
2590,538573,232770,Bind,14137,14137,11328,7,6,5,5,13,10,14137,11328,-,https://www.vlr.gg/538573/titan-esports-club-vs-funplus-phoenix-china-evolution-series-act-3-sf/?game=232770
2590,538572,232768,Ascent,,1119,13790,4,5,5,8,9,13,13790,1119,-,https://www.vlr.gg/538572/all-gamers-vs-wolves-esports-china-evolution-series-act-3-qf/?game=232768
2590,538574,232773,Abyss,13790,13576,13790,1,4,8,5,5,13,13790,13576,-,https://www.vlr.gg/538574/jdg-esports-vs-wolves-esports-china-evolution-series-act-3-sf/?game=232773
2590,538574,232772,Lotus,13576,13576,13790,3,10,2,3,13,5,13576,13790,-,https://www.vlr.gg/538574/jdg-esports-vs-wolves-esports-china-evolution-series-act-3-sf/?game=232772
