prize_pool,name,region,url,tournament_id
29574,Champions Tour Brazil Stage 3: Challengers Playoffs,mod-br,https://www.vlr.gg/event/536/champions-tour-brazil-stage-3-challengers-playoffs,536
103414,Champions Tour Stage 3: EMEA Challengers Playoffs,mod-eu,https://www.vlr.gg/event/547/champions-tour-stage-3-emea-challengers-playoffs,547
32000,Champions Tour LATAM Stage 3: Challengers Playoffs,mod-un,https://www.vlr.gg/event/621/champions-tour-latam-stage-3-challengers-playoffs,621
100000,Champions Tour North America Stage 3: Challengers Playoffs,mod-us,https://www.vlr.gg/event/578/champions-tour-north-america-stage-3-challengers-playoffs,578
86900,Champions Tour Korea Stage 3: Challengers,mod-kr,https://www.vlr.gg/event/595/champions-tour-korea-stage-3-challengers,595
18152,Champions Tour Japan Stage 3: Challengers Playoffs,mod-jp,https://www.vlr.gg/event/540/champions-tour-japan-stage-3-challengers-playoffs,540
9844,Champions Tour Brazil Stage 3: Challengers 3,mod-br,https://www.vlr.gg/event/535/champions-tour-brazil-stage-3-challengers-3,535
3450,Champions Tour Indonesia Stage 3: Challengers 3,mod-id,https://www.vlr.gg/event/625/champions-tour-indonesia-stage-3-challengers-3,625
2885,Champions Tour Thailand Stage 3: Challengers 3,mod-th,https://www.vlr.gg/event/567/champions-tour-thailand-stage-3-challengers-3,567
3060,Champions Tour Malaysia & Singapore Stage 3: Challengers 3,mod-my,https://www.vlr.gg/event/569/champions-tour-malaysia-singapore-stage-3-challengers-3,569
5340,Champions Tour Philippines Stage 3: Challengers 3,mod-ph,https://www.vlr.gg/event/581/champions-tour-philippines-stage-3-challengers-3,581
6726,Champions Tour Vietnam Stage 3: Challengers 3,mod-vn,https://www.vlr.gg/event/604/champions-tour-vietnam-stage-3-challengers-3,604
5000,Champions Tour Hong Kong & Taiwan Stage 3: Challengers 3,mod-tw,https://www.vlr.gg/event/574/champions-tour-hong-kong-taiwan-stage-3-challengers-3,574
4500,Champions Tour LATAM Stage 3: Challengers 2,mod-un,https://www.vlr.gg/event/517/champions-tour-latam-stage-3-challengers-2,517
50000,Champions Tour North America Stage 3: Challengers 2,mod-us,https://www.vlr.gg/event/576/champions-tour-north-america-stage-3-challengers-2,576
42333,Champions Tour Europe Stage 3: Challengers 2,mod-eu,https://www.vlr.gg/event/544/champions-tour-europe-stage-3-challengers-2,544
21771,Champions Tour Turkey Stage 3: Challengers 2,mod-tr,https://www.vlr.gg/event/545/champions-tour-turkey-stage-3-challengers-2,545
21771,Champions Tour CIS Stage 3: Challengers 2,mod-ru,https://www.vlr.gg/event/546/champions-tour-cis-stage-3-challengers-2,546
9844,Champions Tour Brazil Stage 3: Challengers 2,mod-br,https://www.vlr.gg/event/534/champions-tour-brazil-stage-3-challengers-2,534
3444,Champions Tour Indonesia Stage 3: Challengers 2,mod-id,https://www.vlr.gg/event/611/champions-tour-indonesia-stage-3-challengers-2,611
5000,Champions Tour Hong Kong & Taiwan Stage 3: Challengers 2,mod-tw,https://www.vlr.gg/event/573/champions-tour-hong-kong-taiwan-stage-3-challengers-2,573
3060,Champions Tour Malaysia & Singapore Stage 3: Challengers 2,mod-my,https://www.vlr.gg/event/568/champions-tour-malaysia-singapore-stage-3-challengers-2,568
