tournament_id,match_id,team1_name,team2_name,score1,score2,winner_name,loser_name,sub_stage,stage,match_url
800,97200,100 Thieves,NYFU,2.0,1.0,100 Thieves,NYFU,Upper Quarterfinals,Open Qualifier #2,https://www.vlr.gg/97200/100-thieves-vs-nyfu-champions-tour-north-america-stage-2-challengers-ubqf
800,97201,Akrew,Built By Gamers Academy,2.0,0.0,Akrew,Built By Gamers Academy,Upper Quarterfinals,Open Qualifier #2,https://www.vlr.gg/97201/akrew-vs-built-by-gamers-academy-champions-tour-north-america-stage-2-challengers-ubqf
800,97202,Girl Kissers,Evil Geniuses,0.0,2.0,Evil Geniuses,Girl Kissers,Upper Quarterfinals,Open Qualifier #2,https://www.vlr.gg/97202/girl-kissers-vs-evil-geniuses-champions-tour-north-america-stage-2-challengers-ubqf
800,97203,Knights,DarkZero Esports,2.0,0.0,Knights,DarkZero Esports,Upper Quarterfinals,Open Qualifier #2,https://www.vlr.gg/97203/knights-vs-darkzero-esports-champions-tour-north-america-stage-2-challengers-ubqf
800,97214,VIRTUOSO,T1,2.0,0.0,VIRTUOSO,T1,Lower Round 2,Open Qualifier #2,https://www.vlr.gg/97214/virtuoso-vs-t1-champions-tour-north-america-stage-2-challengers-lr2
800,97215,Moon Raccoons,Gen.G,0.0,2.0,Gen.G,Moon Raccoons,Lower Round 2,Open Qualifier #2,https://www.vlr.gg/97215/moon-raccoons-vs-gen-g-champions-tour-north-america-stage-2-challengers-lr2
800,97216,Ghost Gaming,BASILISK,2.0,0.0,Ghost Gaming,BASILISK,Lower Round 2,Open Qualifier #2,https://www.vlr.gg/97216/ghost-gaming-vs-team-basilisk-champions-tour-north-america-stage-2-challengers-lr2
800,97217,Version1,Complexity,1.0,2.0,Complexity,Version1,Lower Round 2,Open Qualifier #2,https://www.vlr.gg/97217/version1-vs-complexity-champions-tour-north-america-stage-2-challengers-lr2
800,97218,Cosmic Divide,Skwirel Warriers,2.0,1.0,Cosmic Divide,Skwirel Warriers,Lower Round 2,Open Qualifier #2,https://www.vlr.gg/97218/cosmic-divide-vs-skwirel-warriers-champions-tour-north-america-stage-2-challengers-lr2
800,97219,Sentinels,PUGSTARS,2.0,0.0,Sentinels,PUGSTARS,Lower Round 2,Open Qualifier #2,https://www.vlr.gg/97219/sentinels-vs-pugstars-champions-tour-north-america-stage-2-challengers-lr2
